Data_Zone,Intermediate_Zone,Council_area,Total_population,Working_age_population,SIMD2020v2_Rank,SIMD2020v2_Income_Domain_Rank,SIMD2020_Employment_Domain_Rank,SIMD2020_Health_Domain_Rank,SIMD2020_Education_Domain_Rank,SIMD2020_Access_Domain_Rank,SIMD2020_Crime_Domain_Rank,SIMD2020_Housing_Domain_Rank,quintile,decile,vigintile,percentile,CP,DZ_Name,LARank,Number of small areas in CP,Number of small areas in LA,LAQuintile,Number in LA Quintile,children 00-17,all ages,NameC
S01010668,Loch Ness,Highland,1118,687,4590,4859,4817.5,5655,5014,558,4789,4046,4,7,14,66,Inverness,Loch Ness South,223,103,312,4,62,166,1123,Loch Ness South
S01010725,Black Isle South,Highland,903,567,4591,5454,5475,5738,3728,330,5797,4347,4,7,14,66,Mid Ross,Black Isle South,224,33,312,4,62,178,973,Black Isle South
S01010540,Badenoch and Strathspey Central,Highland,635,389,4608,4739,5755,5554,3794,480,6777,3216,4,7,14,67,Badenoch and Strathspey,Boat of Garten,225,17,312,4,62,84,625,Boat of Garten
S01007320,Knapdale,Argyll and Bute,752,448,4617,6273,5898,5986,5895,11,6618,3683,4,7,14,67,"Mid-Argyll, Kintyre & Islay",-,99,29,125,4,25,106,759,Knapdale
S01010626,Inverness Crown and Haugh,Highland,957,505,4618,4748,2793,4576,5102,4714,4813,5438,4,7,14,67,Inverness,Inverness Haugh East,226,103,312,4,62,121,932,Inverness Haugh East
S01010720,Black Isle South,Highland,985,528,4634,4373,4204,4671,5498,1327,5688,6224.5,4,7,14,67,Mid Ross,Fortrose East,227,33,312,4,62,187,1024,Fortrose East
S01010571,Inverness Culloden and Balloch,Highland,722,475,4646,4624.5,3633,4094,3743,4422,6595,3139,4,7,14,67,Inverness,Culloden North,228,103,312,4,62,125,730,Culloden North
S01010760,Sutherland South,Highland,666,306,4650,3813,3981.5,4329,4147,5204,4713,4902,4,7,14,67,Sutherland,Dornoch West,229,20,312,4,62,88,679,Dornoch West
S01010544,Badenoch and Strathspey North,Highland,876,509,4654,3915,4670,4890,3426,3432,4607,4184.5,4,7,14,67,Badenoch and Strathspey,Grantown South,230,17,312,4,62,195,865,Grantown South
S01007307,Benderloch Trail,Argyll and Bute,880,564,4671,5934,5818,6030,4999,93,5755,4602,4,7,14,67,"Oban, Lorn & the Isles",-,100,27,125,4,25,156,891,Benderloch Trail
S01010599,Inverness Lochardil and Holm Mains,Highland,828,519,4676,4464,4997,5599,5088,643,5393,6694,4,7,14,68,Inverness,Inverness Holm Mains,231,103,312,4,62,286,1037,Inverness Holm Mains
S01010795,Caithness North West,Highland,943,552,4677,4216,4149,4485,4725,2285,5872,5921,4,7,14,68,Caithness,Halkirk,232,38,312,4,62,143,947,Halkirk
S01010535,Badenoch and Strathspey South,Highland,728,450,4697,5601,5839,6663,4723,266,2561,3136,4,7,14,68,Badenoch and Strathspey,Kincraig,233,17,312,4,62,124,735,Kincraig
S01010805,Thurso West,Highland,802,484,4702,4319,3628,4912,3898,5399,3366,5861.5,4,7,14,68,Caithness,Thurso Pennyland South,234,38,312,4,62,166,823,Thurso Pennyland South
S01010692,Ross and Cromarty North West,Highland,690,468,4723,4271.5,4472,4475,3373,4511,4238,3012,4,7,14,68,"Skye, Lochalsh and West Ross",Ullapool North,235,26,312,4,62,121,709,Ullapool North
S01010808,Thurso West,Highland,525,334,4734,3613,4538,4772,3491,4808,6009,4686,4,7,14,68,Caithness,Thurso Pennyland North,236,38,312,4,62,123,532,Thurso Pennyland North
S01010657,Inverness West Rural,Highland,669,429,4735,5585,5731,6591,4822,114,6795,6744,4,7,14,68,Inverness,Kiltarlity,237,103,312,4,62,126,695,Kiltarlity
S01010591,Inverness Inshes,Highland,1386,923,4738,5031.5,5219,5059,5086,509,5999,4859,4,7,14,68,Inverness,Inverness South,238,103,312,4,62,423,1403,Inverness South
S01007358,Cowal North,Argyll and Bute,900,596,4740,5510,5708,5268,5010,555,2317,2485,4,7,14,68,Helensburgh & Lomond,-,101,37,125,5,25,145,847,Cowal North
S01010719,Black Isle South,Highland,655,375,4750,4574,4989,6290,5321,729,4364,3258,4,7,14,69,Mid Ross,Rosemarkie,239,33,312,4,62,130,643,Rosemarkie
S01010541,Badenoch and Strathspey Central,Highland,861,502,4756,4957,5296,6093,4524,712,3574,3417,4,7,14,69,Badenoch and Strathspey,Carrbridge,240,17,312,4,62,153,871,Carrbridge
S01010581,Inverness Smithton,Highland,535,378,4766,3970,4232.5,4581,4432,4715,5613,1442,4,7,14,69,Inverness,Culloden Blackwell,241,103,312,4,62,105,534,Culloden Blackwell
S01010547,Badenoch and Strathspey North,Highland,763,478,4767,5691,5983,6502,3923,245,4988,3989,4,7,14,69,Badenoch and Strathspey,Cromdale,242,17,312,4,62,132,779,Cromdale
S01010797,Caithness North West,Highland,785,480,4771,5249.5,4582,5763,4985,673,4822,6035,4,7,14,69,Caithness,Thurso Rural,243,38,312,4,62,166,788,Thurso Rural
S01007382,Helensburgh West and Rhu,Argyll and Bute,642,392,4779,5078,4637,5124,5844,707,4630,5995,4,7,14,69,Helensburgh & Lomond,-,102,37,125,5,25,134,648,Helensburgh West and Rhu
S01010542,Badenoch and Strathspey North,Highland,910,541,4784,5119,5677,6443,5346,292,6494,1576.5,4,7,14,69,Badenoch and Strathspey,Nethy Bridge,244,17,312,4,62,132,901,Nethy Bridge
S01010582,Inverness Westhill,Highland,723,452,4786,5324,5113,4700,6226,747,2036,6397,4,7,14,69,Inverness,Inverness East,245,103,312,4,62,147,722,Inverness East
S01007286,"Mull, Iona, Coll and Tiree",Argyll and Bute,1032,627,4793,4059,4377,4096,5056,4185,3763,3763,4,7,14,69,"Oban, Lorn & the Isles",-,103,27,125,5,25,201,999,"Mull, Iona, Coll and Tiree"
S01010566,Inverness East Rural,Highland,1111,694,4831,6392,6629,6103,5397,25,6260,4141,4,7,14,70,Inverness,Strathnairn & Strathdearn,246,103,312,4,62,237,1124,Strathnairn & Strathdearn
S01007385,Helensburgh West and Rhu,Argyll and Bute,777,417,4845,4993,4063,3981,4701,2877,4801,5579,4,7,14,70,Helensburgh & Lomond,-,104,37,125,5,25,130,777,Helensburgh West and Rhu
S01010507,Lochaber West,Highland,704,443,4850,4123,4876,3360,3947,6196,4565,2614,4,7,14,70,Lochaber,Mallaig,247,27,312,4,62,125,702,Mallaig
S01010526,Lochaber East and North,Highland,804,480,4857,3855,4816,3458,5089,4781,4876,3314,4,7,14,70,Lochaber,Ballachulish,248,27,312,4,62,140,792,Ballachulish
S01010664,Loch Ness,Highland,867,534,4869,5280,5760,6292,6496,170,5726,4597,4,7,14,70,Inverness,Balnain,249,103,312,4,62,153,855,Balnain
S01010537,Badenoch and Strathspey Central,Highland,790,563,4873,4727,4919.5,5567,2943,4852,2054,2133,4,7,14,70,Badenoch and Strathspey,Aviemore West,250,17,312,4,62,80,782,Aviemore West
S01010533,Badenoch and Strathspey South,Highland,573,341,4885,3902.5,4114.5,4997,4855,6182,2777,4502,4,8,15,71,Badenoch and Strathspey,Kingussie South West,251,17,312,5,62,63,574,Kingussie South West
S01010653,Inverness Kinmylies and South West,Highland,577,401,4893,4785.5,4687,5165,3193,2823,6461,2604,4,8,15,71,Inverness,Inverness Scorguie South,252,103,312,5,62,48,577,Inverness Scorguie South
S01010539,Badenoch and Strathspey Central,Highland,1056,716,4917,5513,5217,6327,4740,644,4115.5,2603,4,8,15,71,Badenoch and Strathspey,Aviemore East,253,17,312,5,62,144,1075,Aviemore East
S01010775,Caithness South,Highland,689,439,4929,4631,5317,5813,4878,869,5350,6084,4,8,15,71,Caithness,Wick West Rural,254,38,312,5,62,142,726,Wick West Rural
S01010569,Inverness East Rural,Highland,1104,851,4932,6113,6172,6318,3038,421,4926,5100,4,8,15,71,Inverness,Dalcross,255,103,312,5,62,130,1043,Dalcross
S01010546,Badenoch and Strathspey North,Highland,843,466,4936,4002,4897,3878,3756,6419,4269,4423.5,4,8,15,71,Badenoch and Strathspey,Grantown North,256,17,312,5,62,118,839,Grantown North
S01010785,Wick North,Highland,663,402,4974,4895,4766,4179,2877,5230,4129,6071,4,8,15,72,Caithness,Wick Hillhead South,257,38,312,5,62,113,673,Wick Hillhead South
S01010529,Lochaber East and North,Highland,734,432,4976,5033,5418,5728,4475,778,6344,4862,4,8,15,72,Lochaber,Spean Bridge,258,27,312,5,62,129,716,Spean Bridge
S01007305,Benderloch Trail,Argyll and Bute,751,440,4979,6060,5915.5,6204,5339,182,6087,3950,4,8,15,72,"Oban, Lorn & the Isles",-,105,27,125,5,25,117,716,Benderloch Trail
S01010700,Ross and Cromarty East,Highland,603,366,4987,5892,6535.5,6215,3999,315,4163,4988,4,8,15,72,East Ross,Ferindonald,259,30,312,5,62,96,597,Ferindonald
S01010559,Nairn West,Highland,888,451,5008,4153,4398,4136,6120,3495,4637,6312,4,8,15,72,Nairn & Nairnshire,Nairn Fishertown West,260,18,312,5,62,112,881,Nairn Fishertown West
S01010729,Black Isle North,Highland,719,455,5014,5936,5730,6452,4392,307,6043,6050,4,8,15,72,Mid Ross,Tore & Kinkell,261,33,312,5,62,112,702,Tore & Kinkell
S01007292,Oban South,Argyll and Bute,763,483,5015,4956,4873,4340,4269,1996,6828,5388,4,8,15,72,"Oban, Lorn & the Isles",-,106,27,125,5,25,130,741,Oban South
S01010597,Inverness Slackbuie,Highland,968,684,5050,4606.5,5230,5560,4493,1618,5438,4355.5,4,8,15,73,Inverness,Inverness South,262,103,312,5,62,240,929,Inverness South
S01010600,Inverness Lochardil and Holm Mains,Highland,906,505,5057,4885,5221,4518,4841,2272,3210,4608,4,8,15,73,Inverness,Inverness Lochardil East,263,103,312,5,62,120,926,Inverness Lochardil East
S01007377,Garelochhead,Argyll and Bute,640,399,5060,5663,5602,5129,5278,476,6781,5432,4,8,15,73,Helensburgh & Lomond,-,107,37,125,5,25,101,650,Garelochhead
