Data_Zone,Intermediate_Zone,Council_area,Total_population,Working_age_population,SIMD2020v2_Rank,SIMD2020v2_Income_Domain_Rank,SIMD2020_Employment_Domain_Rank,SIMD2020_Health_Domain_Rank,SIMD2020_Education_Domain_Rank,SIMD2020_Access_Domain_Rank,SIMD2020_Crime_Domain_Rank,SIMD2020_Housing_Domain_Rank,quintile,decile,vigintile,percentile,CP,DZ_Name,LARank,Number of small areas in CP,Number of small areas in LA,LAQuintile,Number in LA Quintile,children 00-17,all ages,NameC
S01007402,Helensburgh East,Argyll and Bute,567,343,6230,6742,6017,5848,5520,1977,5707,3892,5,9,18,90,Helensburgh & Lomond,-,120,37,125,5,25,98,553,Helensburgh East
S01010560,Nairn West,Highland,682,404,6265,5626,5813,5468,5372,5767,3499,6181.5,5,9,18,90,Nairn & Nairnshire,Nairn Showfield,303,18,312,5,62,92,650,Nairn Showfield
S01007378,Garelochhead,Argyll and Bute,2804,2605,6326,6887,6915,6938,5959,855,6869,3389,5,10,19,91,Helensburgh & Lomond,-,121,37,125,5,25,98,2673,Garelochhead
S01010604,Inverness Lochardil and Holm Mains,Highland,480,304,6350,6803.5,6451,6589,6191,1090,6328,6428,5,10,19,92,Inverness,Inverness Lochardil West,304,103,312,5,62,92,476,Inverness Lochardil West
S01010618,Inverness Drakies,Highland,671,441,6353,5676,5777,5745,5789,4663,4994,5171.5,5,10,19,92,Inverness,Inverness Drakies South,305,103,312,5,62,121,685,Inverness Drakies South
S01010561,Nairn West,Highland,683,355,6403,6068.5,6486,5377,6320,2213,6802,6001,5,10,19,92,Nairn & Nairnshire,Nairn Achareidh North,306,18,312,5,62,96,669,Nairn Achareidh North
S01010617,Inverness Drakies,Highland,877,538,6404,5866,5792,6133,5008,4272,6245,6447,5,10,19,92,Inverness,Inverness Drakies Central,307,103,312,5,62,170,861,Inverness Drakies Central
S01010576,Inverness Culloden and Balloch,Highland,797,454,6496,6479,6548.5,6007,6322,1751,6639,6785,5,10,19,94,Inverness,Balloch South,308,103,312,5,62,148,790,Balloch South
S01010736,Alness,Highland,520,294,6517,6686,6381.5,5707,4522,3463,6001,6933,5,10,19,94,East Ross,Alness Obsdale,309,30,312,5,62,92,512,Alness Obsdale
S01007388,Helensburgh North,Argyll and Bute,652,386,6522,6320,6580,6451,6470,1671,6928,6113,5,10,19,94,Helensburgh & Lomond,-,122,37,125,5,25,107,646,Helensburgh North
S01010625,Inverness Crown and Haugh,Highland,771,405,6532,6235,5578,5814,5592,5127,5272,6465,5,10,19,94,Inverness,Inverness Crown South,310,103,312,5,62,117,761,Inverness Crown South
S01010607,Inverness Drummond,Highland,875,571,6577,6094.5,6553,6376,5384,3016,6668,5041,5,10,19,95,Inverness,Inverness Upper Drummond,311,103,312,5,62,160,877,Inverness Upper Drummond
S01007392,Helensburgh North,Argyll and Bute,480,254,6639,6217.5,5867,5536,6714,3890,6332,6943,5,10,20,96,Helensburgh & Lomond,-,123,37,125,5,25,62,483,Helensburgh North
S01007387,Helensburgh North,Argyll and Bute,692,391,6675,6733,6602,6574,6794,1624,6574,6763,5,10,20,96,Helensburgh & Lomond,-,124,37,125,5,25,124,683,Helensburgh North
S01010574,Inverness Culloden and Balloch,Highland,588,380,6776,6109,6446,6299,5475,5099,5386,6566,5,10,20,98,Inverness,Culloden Academy,312,103,312,5,62,112,582,Culloden Academy
S01007391,Helensburgh North,Argyll and Bute,534,319,6819,6893,6944,6634,6780,2003,5614,6766,5,10,20,98,Helensburgh & Lomond,-,125,37,125,5,25,68,511,Helensburgh North
